plant_key,period,period_as_date,market,reference_market,part_of_world,market_code,company_code,factory,warranty_category,service_type,pnc_sku,sell_out_date,failure_date,ttfi,qty_serv,product_line,product_group,product_subgroup,order_nr,warranty_key,product_unit_key
HUC,202303,2023-03-01,Italy,Reference Markets Only,Europe,ITA,IT1,Electrolux Plants,First year warranty,Service call,933033173,2022-12-20,2023-03-11,3,1,Food Preservation,Built-in Food Preservation,Built-in Upright Refrigerator,000008109482000,G,HUC-933033173-151-10006
ZS,202303,2023-03-01,Denmark,Reference Markets Only,Europe,DKH,DKH,Electrolux Plants,First year warranty,Service call,925560026,2022-07-26,2023-02-21,7,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,405141475000,G,ZS-925560026-218-43
HUY,202303,2023-03-01,Sweden,Reference Markets Only,Europe,SWE,SR ,Electrolux Plants,First year warranty,Service call,925041805,2022-06-21,2023-03-06,9,1,Food Preservation,Freestanding Refrigerator,Freestanding Upright Refrigerator,409979620000,G,HUY-925041805-214-40036
HUY,202303,2023-03-01,Sweden,Reference Markets Only,Europe,SWE,SR ,Electrolux Plants,First year warranty,Service call,925052971,2023-01-08,2023-02-22,1,1,Food Preservation,Freestanding Freezer,Freestanding Upright Freezer,409975613000,G,HUY-925052971-238-60014
ZS,202303,2023-03-01,Norway,Reference Markets Only,Europe,EHN,NO1,Electrolux Plants,First year warranty,Service call,925503159,2022-04-22,2023-03-01,11,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000007963176000,G,ZS-925503159-211-00303
ZS,202303,2023-03-01,United Kingdom,Reference Markets Only,Europe,ENG,GB1,Electrolux Plants,First year warranty,Service call,925515024,2023-01-28,2023-03-06,2,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000007988525000,G,ZS-925515024-244-00505
HUC,202303,2023-03-01,United Kingdom,Reference Markets Only,Europe,ENG,GB1,Electrolux Plants,First year warranty,Service call,933024095,2022-08-01,2023-03-08,7,1,Food Preservation,Built-in Food Preservation,Built-in Under Counter Refrigerator,000008001722000,G,HUC-933024095-149-50078
ZS,202303,2023-03-01,United Kingdom,Reference Markets Only,Europe,ENG,GB1,Electrolux Plants,First year warranty,Service call,923584056,2023-01-10,2023-03-08,2,1,Food Preservation,Built-in Food Preservation,Built-in Upright Refrigerator,000007999532000,G,ZS-923584056-102-00077
ZS,202303,2023-03-01,United Kingdom,Reference Markets Only,Europe,ENG,GB1,Electrolux Plants,First year warranty,Service call,925501323,2022-06-10,2023-01-24,7,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000007766946000,G,ZS-925501323-111-11111
ZS,202303,2023-03-01,United Kingdom,Reference Markets Only,Europe,ENG,GB1,Electrolux Plants,First year warranty,Service call,925505069,2022-06-30,2023-03-06,9,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000007988416000,G,ZS-925505069-150-00315
ZS,202303,2023-03-01,Germany,Reference Markets Only,Europe,GER,DGQ,Electrolux Plants,First year warranty,Service call,925503171,2023-02-16,2023-03-17,1,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000DM3651201001,G,ZS-925503171-248-00082
ZS,202303,2023-03-01,Germany,Reference Markets Only,Europe,GER,DGQ,Electrolux Plants,First year warranty,Service call,925505057,2023-03-13,2023-03-23,0,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000U23654248001,G,ZS-925505057-237-00014
